hindi,phon
सत्ता, s a t t aa
सत्ता, s a t t aa
सत्ताईस, s a t t aa ii s
सत्तानवे, s a t t aa n @ v e
सत्तावन, s a t t aa v a n
सत्तासी, s a t t aa s ii
सत्तू, s a t t uu
सत्त्व, s a t t v @
सत्त्वता, s a t t v @ t aa
सत्यं, s a t y a ~
सत्य, s a t y @
सत्यता, s a t y @ t aa
सत्या-, s a t y aa -
सत्यापन, s a t y aa p a n
सत्यापित, s a t y aa p i t
सत्र, s a t r
सत्रह, s a t r a h
सत्व, s a t v a
सत्वर, s a - t v a r
सत्वरता, s a - t v a r @ t aa
सथराना, s a th r aa n aa
सथराव, s a th r aa v
सथिया, s a th i y aa
सथिया, s a th i y aa
सद, s a d
सद, s a d
सद, s a d
सद्-, s a d -
सदक़ा, s a d q aa
सदन, s a d a n
सदना, s a d n aa
सदमा, s a d m aa
सदय, s a - d a y
सदर, s a d r
सदरी, s a d r ii
सदस्, s a d a s
सदस्य, s a d a s y @
सदस्यता, s a d a s y @ t aa
सदा, s a d aa
सदा, s a d aa
सदाई, s a d aa ii
सदाक़त, s a d aa q a t
सदानंद, s a d aa n a n d
सदारत, s a d aa r a t
सदिया, s a d i y aa
सदी, s a d ii
सदृश, s a - d r i sh
सदृशता, s a - d r i sh @ t aa
सदेशी, s a d e sh ii
सदेह, s a - d e h
सदेही, s a d e h ii
सदैव, s a d E v
सदोष, s a - d o sh
सदोषी, s a - d o sh ii
सद्यः, s a d y a h
सधन, s a - dh a n
सधना, s a dh n aa
सधर्म, s a - dh a r m
सधर्मिणी, s a - dh a r m i n ii
सधर्मी, s a - dh a r m ii
सधवा, s a dh @ v aa
सधवाना, s a dh v aa n aa
सधाऊ, s a dh aa uu
सधाना, s a dh aa n aa
सधाव, s a dh aa v
सधौर, s a dh O r
सन, s a n
सन, s a n
सन, s a n
सन्, s a n
सनक, s a n a k
सनकना, s a n a k n aa
सनकी, s a n k ii
सनकीपन, s a n k ii p a n
सनद, s a n a d
सनदी, s a n a d ii
सनना, s a n n aa
सनम, s a n a m
सनमान, s a n m aa n
सनमान-, s a n m aa n -
सनमानी, s a n m aa n ii
सनमुख, s a n m u kh
सनसन, s a n s a n
सनसनाना, s a n s a n aa n aa
सनसनाहट, s a n s a n aa h a tt
सनसनी, s a n s a n ii
सनाका, s a n aa k aa
सनातन, s a n aa t a n
सनातनी, s a n aa t a n ii
सनाथ, s a - n aa th
सनापत, s a n aa p a t
सनाह, s a n aa h
सनी, s a n ii
सनीचर, s a n ii c a r
सनीचरा, s a n ii c @ r aa
सनीचरी, s a n ii c @ r ii
सनोढ़िया, s a n o rrh i y aa
सनोबर, s a n o b a r
सन्न, s a n n
सन्नति, s a n - n a t i
सन्नद्ध, s a n - n a d dh
सन्नाटा, s a n n aa tt aa
सन्नाना, s a n n aa n aa
सन्नासी, s a n n aa s ii
सन्नाह, s a n - n aa h
सन्निकट, s a n - n i - k a tt
सन्निकर्ष, s a n - n i - k a r sh
सन्निध, s a n - n i - dh
सन्निधान, s a n - n i - dh aa n
सन्निपात, s a n - n i - p aa t
सन्निविष्ट, s a n - n i - v i sh tt
सन्निवेश, s a n - n i - v e sh
सन्निहित, s a n - n i - h i t
सन्मार्ग, s a n m aa r g
सन्यास, s a n y aa s
सन्यासी, s a n y aa s ii
सपंग, s a p a ng g
सपक्ष, s a - p a k sh
सपड़ना, s a p a rr n aa
सपड़-सपड़, s a p a rr - s a p a rr
सपड़ाना, s a p rr aa n aa
सपत्नीक, s a - p a t n ii k
सपदि, s a - p a d i
सपना, s a p n aa
सपरदाई, s a p a r d aa ii
सपरना, s a p a r n aa
सपराना, s a p r aa n aa
सपरिवार, s a - p a r i - v aa r
सपर्दा, s a p a r d aa
सपलाई, s a p l aa ii
सपल्लव, s a - p a l l a v
सपाट, s a p aa tt
सपाटा, s a p aa tt aa
सपाद, s a p aa d
सपिंड, s a - p i n dd
सपिंडी, s a - p i n dd ii
सपीना, s a p ii n aa
सपुत्र, s a - p u t r
सपूत, s a p uu t
सपूती, s a p uu t ii
सपेला, s a p e l aa
सपोला, s a p o l aa
सप्त-, s a p t -
सप्तक, s a p t a k
सप्तदश, s a p t a d a sh
सप्तम्, s a p t a m
सप्तमी, s a p t @ m ii
सप्ताह, s a p t aa h
सप्रमाण, s a - p r a - m aa n
सप्राण, s a - p r aa n
सप्रीति, s a - p r ii t i
सप्लाई, s a p l aa ii
सफ़, s a f
सफ़र, s a f a r
सफर, s a ph r a
सफ़री, s a f @ r ii
सफ़री, s a f @ r ii
सफल, s a - ph a l
सफलता, s a - ph a l @ t aa
सफलीभूत, s a ph a l ii bh uu t
सफ़हा, s a f h aa
सफ़ा, s a f aa
सफ़ाया, s a f aa y aa
सफ़ाई, s a f aa ii
सफ़ाया, s a f aa y aa
सफ़ीर, s a f ii r
सफ़ेद, s a f e d
सफ़ेदा, s a f e d aa
सफ़ेदी, s a f e d ii
सब, s a b
सबक़, s a b a q
सबतिया, s a b a t i y aa
सबद, s a b a d
सबदरा, s a b d a r aa
सबब, s a b a b
सबर्त, s a b a r t
सबल, s a - b a l
सबलता, s a - b a l @ t aa
सबलाई, s a - b a l aa ii
सबसबाना, s a b s a b aa n aa
सबा, s a b aa
सबील, s a b ii l
सबूत, s a b uu t
सबेर, s a b e r
सबेरा, s a b e r aa
सबोतर, s a b o t a r
सब्ज़, s a b z
सब्ज़ा, s a b z aa
सब्ज़ी, s a b z ii
सब्बल, s a b b a l
सब्र, s a b r
सभय, s a - bh a y
सभा, s a bh aa
सभी, s a bh ii
सभीत, s a - bh ii t
सभों, s a bh o ~
सभ्य, s a bh y @
सभ्यता, s a bh y @ t aa
समंजस, s a m - a n a s
समंदर, s a m a n d a r
समंदर, s a m a n d a r
समंदरी, s a m a n d r ii
सम्-, s a m -
सम, s a m
समई, s a m a ii
समकक्ष, s a m - k a k sh
समकालिक, s a m - k aa l i k
समकालीन, s a m - k aa l ii n
समकोण, s a m - k o n
समक्ष, s a m - a k sh
समग्र, s a m - a g r @
समग्रता, s a m - a g r @ t aa
समचर्तुर्भुज, s a m - c a t u r bh u j
समजातीय, s a m - j aa t ii y @
समझ, s a m a jh
समझना, s a m a jh n aa
समझाना, s a m jh aa n aa
समझावा, s a m jh aa v aa
समझौता, s a m jh O t aa
समझौती, s a m jh O t ii
समतल, s a m - t a l
समता, s a m @ t aa
समदर्शी, s a m - d a r sh ii
समदृष्टि, s a m - d r i sh tt i
समदेशीय, s a m - d e sh ii y @
समद्विबाहु, s a m - d v i b aa h u
समधिन, s a m dh i n
समधियाना, s a m dh i y aa n aa
समधी, s a m dh ii
समन, s a m a n
समन्वय, s a m - a n v - a y
समन्वयन, s a m - a n v - a y a n
समन्वयी, s a m - a n v - a y ii
समन्वित, s a m - a n v - i t
समपादकीय, s a m - p aa d @ k ii y @
समबाहु, s a m - b aa h u
समभाव, s a m - bh aa v
समभुज, s a m - bh u j
सममित, s a m - m i t
समय, s a m - a y
समयौ, s a m a y O
समयौन, s a m - y O n
समर, s a m - a r
समर, s a m a r
समरस, s a m - r a s
समराट्, s a m - r aa tt
समरूप, s a m - r uu p
समर्थ, s a m - a r th
समर्थक, s a m - a r th a k
सम़र्थता, s a m - a r th @ t aa
समर्थन, s a m - a r th a n
समर्थनीय, s a m - a r th @ n ii y @
समर्थित, s a m - a r th i t
समर्पण, s a m - a r p a n
समर्पना, s a m - a r p n aa
समर्पित, s a m - a r p i t
समर्पै, s a m - a r p E
समल, s a - m a l
समलिंगी, s a m - l i ng g ii
समलैंगिक, s a m - l E ng g i k
समलैंगिकता, s a m - l E ng g i k @ t aa
समवयस्क, s a m - v a y a s k
समवर्ण, s a m - v a r n
समवर्ती, s a m - v a r t ii
समवाय, s a m - @ v aa y
समवृत्त, s a m - v r i t t
समवेत, s a m - @ v e t
समवेदना, s a m - v e d @ n aa
समष्टि, s a m - a sh tt i
समसान, s a m s aa n
समसामयिक, s a m - s aa m @ y i k
समस्त, s a m - a s t
समस्या, s a m - a s y aa
समाँ, s a m aa ~
समांग, s a m aa ng g
समांतर, s a m aa n t a r
समा, s a m aa
समाई, s a m aa ii
समाऊ, s a m aa uu
समाख्या, s a m - aa - kh y aa
समागत, s a m - aa - g a t
समागति, s a m - aa - g a t i
समागम, s a m - aa - g a m
समाघात, s a m - aa - gh aa t
समाचार, s a m - aa - c aa r
समाज, s a m - aa j
समाजत, s a m aa j a t
समाजी, s a m aa j ii
समाजीकरण, s a m aa j ii k a r a n
समादर, s a m - aa - d a r
समादरणीय, s a m - aa - d a r @ n ii y @
समादृत, s a m - aa - d r i t
समाधान, s a m - aa - dh aa n
समाधि, s a m - aa - dh i
समाधिकारि, s a m aa dh i k aa r ii
समान, s a m aa n
समानता, s a m aa n @ t aa
समाना, s a m aa n aa
समानीकरण, s a m aa n ii k a r a n
समापन, s a m - aa p a n
समापन्न, s a m - aa - p a n n
समापित, s a m - aa p i t
समाप्त, s a m - aa p t
समाप्ति, s a m - aa p t i
समाप्य, s a m - aa p y @
समायोजन, s a m - aa - y o j a n
समार, s a m aa r
समारोह, s a m - aa - r o h
समारोही, s a m - aa - r o h ii
समालना, s a m aa l n aa
समाली, s a - m aa l ii
समालोचक, s a m - aa - l o c a k
समालोचन, s a m - aa - l o c a n
समालोचना, s a m - aa - l o c @ n aa
समाव, s a m aa v
समाविष्ट, s a m - aa - v i sh tt
समावेश, s a m - aa - v e sh
समावेशन, s a m - aa - v e sh a n
समास, s a m - aa s
समाहित, s a m - aa - h i t
समिति, s a m - i t i
समिध, s a m - i dh
समिधा, s a m - i dh aa
समिर, s a m i r
समीकरण, s a m ii k a r a n
समीकृत, s a m ii k r i t
समीक्षक, s a m - ii k sh a k
समीक्षण, s a m - ii k sh a n
समीक्षा, s a m - ii k sh aa
समीक्षित, s a m - ii k sh i t
समीक्ष्य, s a m - ii k sh y @
समीचीन, s a m ii c ii n
समीचीनता, s a m ii c ii n @ t aa
समीप, s a m ii p
समीपता, s a m ii p @ t aa
समीपी, s a m ii p ii
समीर, s a m - ii r
समुंद, s a m u n d
समुंदर, s a m u n d a r
समुंदरी, s a m u n d r ii
समुचित, s a m - u c i t
समुच्चय, s a m - u c - c a y
समुच्चित, s a m - u c - c i t
समुच्छेद, s a m - u c - ch e d
समुत्पत्ति, s a m - u t - p a t t i
समुदय, s a m - u d - a y
समुदाय, s a m - u d - aa y
समुद्र, s a m - u d r @
समुद्री, s a m - u d r ii
समुद्रीय, s a m - u d r ii y @
समुह-, s a m u h -
समुह-, s a m u h -
समूचा, s a m uu c aa
समूल, s a - m uu l
समूह, s a m - uu h
समूहन, s a m - uu h a n
समृद्ध, s a m - r i d dh
समृद्धि, s a m - r i d dh i
समेट, s a m e tt
समेटना, s a m e tt n aa
समेत, s a m - e t
समोना, s a m o n aa
समोसा, s a m o s aa
समौ, s a m O
सम्मत, s a m - m a t
सम्मति, s a m - m a t i
सम्मान, s a m - m aa n
सम्मानन, s a m - m aa n a n
सम्माननीय, s a m - m aa n @ n ii y @
सम्मानित, s a m - m aa n i t
सम्मानी, s a m - m aa n ii
सम्मान्य, s a m - m aa n y @
सम्मिलन, s a m - m i l a n
सम्मिलित, s a m - m i l i t
सम्मिश्रण, s a m - m i sh r a n
सम्मुख, s a m - m u kh
सम्मेलन, s a m - m e l a n
सम्मोद, s a m - m o d
सम्मोह, s a m - m o h
सम्मोहक, s a m - m o h a k
सम्मोहन, s a m - m o h a n
सम्मोहित, s a m - m o h i t
सम्यक्, s a m y a k
सम्राज्ञी, s a m r aa g y ii
सम्राट, s a m r aa tt
सम्हलना, s a m h a l n aa
सम्हार, s a m h aa r
सम्हार-, s a m h aa r -
सम्हालना, s a m h aa l n aa
सयान, s a y aa n
सयानप, s a y aa n a p
सयानपन, s a y aa n p a n
सयाना, s a y aa n aa
सयानापन, s a y aa n aa p a n
सर, s a r
सरंजाम, s a r a n aa m
सर, s a r
सर, s a r
सरक, s a r a k
सरक, s a r a k
सरकंडा, s a r k a n dd aa
सरकना, s a r a k n aa
सरकवाना, s a r a k v aa n aa
सरकाना, s a r k aa n aa
सरकार, s a r k aa r
सरकारी, s a r k aa r ii
सरग़ना, s a r Gh a n aa
सरगम, s a r g a m
सरगुण, s a r g u n
सरजीवन, s a r j ii v a n
सरजू, s a r j uu
सरटा, s a r tt aa
सरणी, s a r @ n ii
सरतान, s a r t aa n
सरदार, s a r d aa r
सरदारनी, s a r d aa r n ii
सरदारिन, s a r d aa r i n
सरदारी, s a r d aa r ii
सरन, s a r a n
सरन, s a r a n
सरना, s a r n aa
सरनाम, s a r n aa m
सरपट, s a r p a tt
सरपत, s a r p a t
सरब-, s a r a b -
सरबर, s a r b a r
सरबरि, s a r b a r i
सरबरी, s a r b a r ii
सरबस, s a r b a s
सरभंग, s a r bh a ng g
सरभंगी, s a r bh a ng g ii
सरमाया, s a r m aa y aa
सरल, s a r a l
सरलता, s a r a l @ t aa
सरलीकरण, s a r a l ii k a r a n
सरवर, s a r v a r
