punjabi,phon
ਪੀਠੀ,p ii tth ii
ਪੀਠਣਾ,p ii tth nn aa
ਪਿਤਕਾਉਣਾ,p i t k aa u nn aa
ਪਿਤਲੀ,p i t l ii
ਪਿਤਲੀਆ,p i t l ii aa
ਪਿਤਮਾਲਤੀ,p i t m aa l t ii
ਪਿਤਰਾਈ,p i t r aa ii
ਪਿਤਰੋਗ,p i t r o r aa
ਪਿੱਤ,p i t t
ਪਿੱਤਾ,p i t t aa
ਪਿੱਤਲ,p i t t a l
ਪਿੱਤੇਛੋਹੀਆਂ,ch o h ii aa ng
ਪਿੱਠ,p i tt tth
ਪਿੱਠੂ,p i tt tth uu
ਪਿਟਵਾਹਾਂ,p i tt v aa h aa ng
ਪਿਉ,p i u
ਪੀਉ,p ii u
ਪਿਵਾਈ,p i v a ii
ਪਿਵਾਉਣਾ,p i v aa u nn aa
ਪੋਆ,p o aa
ਪੋਚ,p o c
ਪੋੱਚਾ,p o c c aa
ਪੋਚਣਾ,p o c nn aa
ਪੋਢਾ,p o ddh aa
ਪੋਦੀਨਾ,p o d ii n aa
ਪੋੱਗਾ,p o g g aa
ਪੋਹ,p o h
ਪੋਹਣ,p o h a nn
ਪੋਹਲੀ,p o h l ii
ਪੋਹਲੀਆਂ,p o h l ii aa ng
ਪੋਲੀਆਂ,p o l ii aa ng
ਪੋਹਣਾ,p o h nn aa
ਪੋਈ,p o ii
ਪੋਈਆ,p o ii aa
ਪੋਜ,p o j
ਪੋਖ,p o kh
ਪੋਖਰ,p o kh a r
ਪੋਖੀ,p o kh ii
ਪੋਖਣਾ,p o kh nn aa
ਪੋਖੂੰ,p o kh uu ng
ਪੋਲ,p o l
ਪੋਲ,p o l
ਪੋੱਲਾ,p o l l aa
ਪੋਲਾ,p o l aa
ਪੋਲਾਚ,p o l aa c
ਪੋਲੀ,p o l ii
ਪੋੱਲੀ,p o l l ii
ਪੋਲੋ,p o l o
ਪੋਣ,p o nn
ਪੋਣਾ,p o nn aa
ਪੋਨਾ,p o n aa
ਪੋਡਾ,p o n dd aa
ਪੋੱਨਾ,p o n n aa
ਪੋਨਵਾਰ,p o n v aa r
ਪੋਪਟ,p o p a tt
ਪੋਪਤਬੂਟੀ,p o p a t b uu tt ii
ਪੋਪਲਾ,p o p l aa
ਪੋਪਲੀ,p o p l ii
ਪੋਪਨਾ,p o p n aa
ਪੋਪਨੀ,p o p n ii
ਪੋਪਰੀ,p o p r ii
ਪੋਰ,p o r
ਪੋਰਾ,p o r aa
ਪੋਰਾਲ,p o r aa l
ਪੋਰਹਾਯਤ,p o r h aa y a t
ਪੋਰਹੀਆ,p o r h ii aa
ਪੋਰੀ,p o r ii
ਪੋਰਨਾ,p o r n aa
ਪੋਰਪਰੰਗ,p o r p r a ng g
ਪੋਰਤੇ,p o r t e
ਪੋਸਾਕ,p o s aa k
ਪੋਸਾਕੀ,p o s aa k ii
ਪੋਸ਼ਾ,p o sh
ਪੋਸ਼ਾ,p o sh aa
ਪੋਸਣਾ,p o s nn aa
ਪੋਸਤ,p o s t
ਪੋਸਤਣ,p o s t a nn
ਪੋਸਤੀ,p o s t ii
ਪੋਟ,p o tt
ਪੋਤ,p o t
ਪੋਤਾ,p o t aa
ਪੋਥਾ,p o th aa
ਪੋਠਾ,p o tth aa
ਪੋਠੀ,p o tth ii
ਪੋਥੀ,p o th ii
ਪੋਠੋਹਾਰ,p o tth o h aa r
ਪੋਠੋਵਾਰ,p o tth o v aa r
ਪੋਠੋਹਾਰੀ,p o tth o h aa r ii
ਪੋਠੋਵਾਰੀ,p o tth o v aa r ii
ਪੋਟਲੀ,p o tt l ii
ਪੋਤਣਾ,p o t nn aa
ਪੋਤਾ੍,p o t r aa
ਪੋਤਡ਼ਾ,p o t rr aa
ਪੋੱਤਾ,p o t t aa
ਪੋੱਟਾ,p o tt tt aa
ਪੋੱਤੀ,p o t t ii
ਪੋਤੂ,p o t uu
ਪੋਵਾਧ,p o v aa dh
ਪੋਵਾਧੀ,p o v aa dh ii
ਪੋਵਣਾ,p o v a nn aa
ਪੋਵਿਨਦਾਹ,p o v i n d aa h
ਪੋਯਾ,p o y aa
ਪੋਯੇਪਾ,p o y e p aa
ਪੁਆਦ,p u aa d
ਪੁਆਧ,p u aa dh
ਪੁਆਹਾ,p u aa h aa
ਪੁਆਰ,p u aa r
ਪੁਆਡ਼ਾ,p u aa rr aa
ਪੁਆਉਣਾ,p u aa u nn aa
ਪੁਚਾਰਾ,p u c aa r aa
ਪੁਚਾਉਣਾ,p u c aa u nn aa
ਪੁੱਛ,p u c ch
ਪੁੱਛਣਾ,p u c ch nn aa
ਪੂਛ,p u ch
ਪੁਛਾਉਣਾ,p u ch aa u nn aa
ਪੁਛਵਾਉਣਾ,p u ch v aa u nn aa
ਪੁਛਵੈਯਾ,p u ch v E y aa
ਪੁਛਵੱਯਾ,p u ch v a y y aa
ਪੁਚਕਾਰਾ,p u c k aa r aa
ਪੁਚਕਾਰੀ,p u c k aa r ii
ਪੁਚਕਾਰਣਾ,p u c k aa r nn aa
ਪੁਦਾਰਾ,p u d aa r aa
ਪੁਦਾਰੀ,p u d aa r ii
ਪੂਦਣਾ,p uu d nn aa
ਪੁਗਾਉਣਾ,p u g aa u nn aa
ਪੁੱਗਣਾ,p u g g nn aa
ਪੁਹਾਰ,p u h aa r
ਪੁਹਾਰਾ,p u h aa r aa
ਪੁਹਕਰਮੂਲ,p u h k a r m uu l
ਪੁਹਲੋ,p u h l o
ਪੁਹੁਣਾ,p u h u nn aa
ਪੁਹੁਰਿਆ,p u h u r i aa
ਪੂਇਰੇ,p uu i r e
ਪੂਜ,p uu j
ਪੂਜਾ,p uu j aa
ਪੂਜਕ,p uu j a k
ਪੁਜਾਲੇ,p u j aa l e
ਪੂਜਾਣ,p uu j a nn
ਪੁਜਨ,p u j a n
ਪੁਜਾਰਾ,p u j aa r aa
ਪੁਜਾਰੀ,p u j aa r ii
ਪੁਜਾਉਣਾ,p u j aa u nn aa
ਪੂਜੀ,p uu j ii
ਪੁੱਜ,p u j j
ਪੁੱਜਤ,p u j j a t
ਪੁੱਜਣਾ,p u j j nn aa
ਪੂਜਮਾਲ,p uu j m aa l
ਪੂਜਣਾ,p uu j nn aa
ਪੁਜਵਾਉਣਾ,p u j v aa u nn aa
ਪੁਕਾਰ,p u k aa r
ਪੁਕਾਰਨਾ,p u k aa r n aa
ਪੁਖਰਾਜ,p u kh r aa j
ਪੁੱਕਾ,p u k k aa
ਪੁਲ,p u l
ਪੂਲਾ,p uu l aa
ਪੂਲੀ,p uu l ii
ਪੁਲਾਦ,p u l aa d
ਪੁਲਾਦੀ,p u l aa d ii
ਪੁਲਾਈ,p u l aa ii
ਪੁਲਾਖ,p u l aa kh
ਪੁਲਾਡ਼,p u l a rr
ਪੁਲਾਟ,p u l aa tt
ਪੁਲਾਉ,p u l aa u
ਪੂਲੀ,p uu l ii
ਪੂੱਲਾ,p uu l l aa
ਪੁਮਾਇ,p u m aa ii
ਪੁਮਲੀ,p u m l ii
ਪੂਮਲੀ,p uu m l ii
ਪੂਲਮੂ,p uu l m uu
ਪੁਣ,p u nn
ਪੂਣ,p uu nn
ਪੂੰ,p uu ng
ਪੁਣਾ,p u nn aa
ਪੂਨਾ,p uu n aa
ਪੁਨਹਚਾਰ,p u n a h c aa r
ਪੁਣਾਈ,p u nn aa ii
ਪੁਨਰ,p u n a r
ਪੁਣਾਉਣਾ,p u nn aa u nn aa
ਪੂੰਛ,p uu ng ch
ਪੁੰਡਰ,p u ng dd a r
ਪੂੰਦਨਾ,p uu ng d n aa
ਪੂੰਗਰਾ,p uu ng g r aa
ਪੂੰਹਜਣ,p uu ng h j a nn
ਪੂੰਹਜੁਣ,p uu ng h j u nn
ਪੂਣੀ,p uu nn ii
ਪੂਨੀ,p uu n ii
ਪੁਨੀਤ,p u n ii t
ਪੂੰਝਣਾ,p uu ng jh nn aa
ਪੁੰਝਾਉਣਾ,p u ng jh aa u nn aa
ਪੂੰਜੀ,p uu ng j ii
ਪੁੱਨ,p u n n
ਪੁੰਨ,p u n n
ਪੂੱਨਾ,p uu n n aa
ਪੁਣਨਾ,p u nn n aa
ਪੁੱਨਨ,p u n n a n
ਪੁੱਨਿਆ,p u n n i aa
ਪੁੱਨਿਆਂ,p u n n i aa ng
ਪੁੱਨੂ,p u n n uu
ਪੁਨੂੰ,p u n n uu ng
ਪੁਰ,p u r
ਪੁਡ਼,p u rr
ਪੂਰ,p uu r
ਪੁਰਾ,p u r aa
ਪੁਡ਼ਾ,p u rr aa
ਪੂਰਾ,p uu r aa
ਪੂਡ਼ਾ,p uu rr aa
ਪੂਰਬ,p uu r a b
ਪੁਰਬ,p u r a b
ਪੁਰਾਹਣਚਾਰੀ,p u r aa h a nn c aa r ii
ਪੁਰਾਹੁਣਚਾਰੀ,p u r aa h u nn c aa r ii
ਪੁਰਾਈ,p u r aa ii
ਪੂਰਾਈ,p uu r aa ii
ਪੁਰਾਇਣ,p u r aa i nn
ਪੂਰਕ,p uu r a k
ਪੁਰਾਣ,p u r aa nn
ਪੂਰਨ,p uu r a n
ਪੂਰਣ,p uu r a nn
ਪੁਰਾਨਾ,p u r aa n aa
ਪੁਰਾਪ,p u r aa p
ਪੁਰਾਤਣ,p u r aa t a nn
ਪੁਰਾਉਣਾ,p u r aa u nn aa
ਪੂਰਬਾ,p uu r b aa
ਪੂਰਬਣ,p uu r b a nn
ਪੂਰਬੀਆ,p uu r b ii aa
ਪੂਰਬਲਾ,p uu r b a l aa
ਪੂਰਬੀ,p uu r b ii
ਪੁਰਚਕ,p u r c a k
ਪੂਰੇ,p uu r e
ਪੁਰੀ,p u r ii
ਪੁਡ਼ੀ,p u rr ii
ਪੂਰੀ,p uu r ii
ਪੂਡ਼ੀ,p uu rr ii
ਪੁਰਜਾ,p u r j aa
ਪੂਰਜਲੂ,p uu r j l uu
ਪੁਰਖ,p u r kh
ਪੁਰਖਾ,p u r kh aa
ਪੁਰਖਾਰਬ,p u r kh aa r a th
ਪੁਰਖਾਰਬੀ,p u r kh aa r t a h ii
ਪੂਰਨਾ,p uu r n aa
ਪੁਰੋਣਾ,p u r o nn aa
ਪੂਰੋਪੂਰ,p uu r o p uu r
ਪੂਰੋਪੂਰ,p uu r o p uu r
ਪੁਡ਼ਪੁਡ਼ੀ,p u rr p u rr ii
ਪੁਰਸ,p u r s
ਪੁਰਸਾਂਗ,p u r s aa ng g
ਪੁਰਸਾਰ,p u r s aa r
ਪੁਰਸ਼ਾਰਥ,p u r sh aa r a th
ਪੁਰਸ਼ਾਰਥੀ,p u r sh aa r a th ii
ਪੁਰਸੀਸ,p u r s ii s
ਪੁਡ਼ੁਛਣਾ,p u rr u ch nn aa
ਪੁਰਵਾਈ,p u r v aa ii
ਪੁਰਵਾਉਣਾ,p u r v aa u nn aa
ਪੂਰਯਾ,p uu r y aa
ਪੁਸਾਕ,p u s aa k
ਪੁਸ਼ਾਕ,p u sh aa k
ਪੁਸਾਕੀ,p u s aa k ii
ਪੁਸ਼ਾਕੀ,p u sh aa k ii
ਪੁਸ਼ਪੀ,p u sh p ii
ਪੁੱਸਨ,p u s s a n
ਪੁੱਸੀ,p u s s ii
ਪੁਸਟ,p u s tt
ਪੁਸ਼ਟ,p u sh tt
ਪੁਸਟ,p u s tt
ਪੁਸ਼ਟਾਈ,p u sh tt aa ii
ਪੁਸਤਾ,p u s t aa
ਪੁਸਤਕ,p u s t a k
ਪੁਸਤਾਰ,p u s t aa r
ਪੁਸਤਾਰਾ,p u s t aa r aa
ਪੂਤ,p uu t
ਪੁਸਤਾਜਨ,p u t aa j a n
ਪੁਟੰਡਾ,p u tt a ng dd aa
ਪੁਟੰਡਣ,p u tt a ng d a nn
ਪੁਤੱਤਾ,p u t a t t aa
ਪੁਟਾਉਣਾ,p u tt aa u nn aa
ਪੁਤੇਇਤਾ,p u t e i t aa
ਪੁਤੇੱਤਾ,p u t e t t aa
ਪੂਤਕੰਦਾ,p uu t k a ng d aa
ਪੁਥਰਮਾਨ,p u th a r m aa n
ਪੁਤਲਾ,p u t l aa
ਪੁਤਲੀ,p u t l ii
ਪੂਤਲੀ,p uu t l ii
ਪੁਟਪਡ਼ੀ,p u tt p a rr ii
ਪੁਟਪੁਟਬੋਲਣਾ,b o l nn aa
ਪੁਤੇ੍ਲਾ,p u t r e l aa
ਪੁਤੇ੍ਲੀ,p u t r e l ii
ਪੁੱਤ,p u t t
ਪੁੱਤ੍,p u t t a r
ਪੁੱਤਿ੍,p u t t i r
ਪੁੱਤੀ੍,p u t t a r ii
ਪੁੱਤੀ੍,p u t t r ii
ਪੁੱਠ,p u tt tth
ਪੁੱਠਾ,p u tt tth aa
ਪੁੱਠੀ,p u tt tth ii
ਪੁੱਟਣਾ,p u tt tt nn aa
ਪੁਟਵਾਈ,p u tt v aa ii
ਪੁਟਵਾਉਣਾ,p u tt v aa u nn aa
ਪੂਵਾਹ,p uu v aa h
ਰਾ,r aa
ਰਾਬ,r aa b
ਰਬਾਬ,r a b aa b
ਰਬਾਬੀ,r a b aa b ii
ਰਬਾਬੀਆ,r a b aa b ii aa
ਰਬਾਨ,r a b aa n
ਰਬਡ਼,r a b a rr
ਰਬਡ਼ਣਾ,r a b a rr nn aa
ਰੱਬ,r a b b
ਰੱਬਾ,r a b b aa
ਰਾੱਬਾ,r aa b b aa
ਰੱਬੀ,r a b b ii
ਰਾਭਨ,r aa bh a n
ਰਾਬੀਆ,r aa b ii aa
ਰਬਡ਼ਾਉਣਾ,r a b rr aa u nn aa
ਰਬਡ਼ੀ,r a b rr ii
ਰਾਬਡ਼ੀ,r aa b rr ii
ਰਬਤ,r a b t
ਰਾਬਤਾ,r aa b t aa
ਰਬਟ,r a b tt
ਰਬਟੀ,r a b tt ii
ਰਬਟੀਆ,r a b tt ii aa
ਰਚ,r a c
ਰਚਾਉਣਾ,r a c aa u nn aa
ਰੱਛ,r a c ch
ਰੱਛਾ,r a c ch aa
ਰੱਛਕ,r a c ch k a
ਰੱਛੀ,r a c ch ii
ਰੱਛਿਆ,r a c ch i aa
ਰਛਾਣੀ,r a ch aa nn ii
ਰਛਪਾਲ,r a ch p aa l
ਰਛਪਾਣੀ,r a ch p aa l ii
ਰਚਜਾਣਾ,r a c j aa nn aa
ਰਚਣਾ,r a c nn aa
ਰਾਚਣਾ,r aa c nn aa
ਰਚਣਾ,r a c nn aa
ਰਚਨਾ,r a c n aa
ਰਚਵਾਈ,r a c v aa ii
ਰਚਵਾਉਣਾ,r a c v aa u nn aa
ਰਦ,r a d
ਰਦਾ,r a d aa
ਰਦਮ,r a d a m
ਰੱਦ,r a d d
ਰੱਦੀ,r a d d ii
ਰੱਦਣਾ,r a d d nn aa
ਰਾਦੇ,r aa d e
ਰਾਧ,r aa dh
ਰਾਧਾ,r aa dh aa
ਰਾਧੀ,r aa dh ii
ਰਾਧਾ,r aa dh aa
ਰਾਧਾਂ,r aa dh aa ng
ਰਾਧਕਾ,r aa dh k aa
ਰਾਧਕਾਂ,r aa dh k aa ng
ਰਾਧਨ,r aa dh a n
ਰਦਕੋਈ,r a d k o ii
ਰਫਾਕਤ,r a ph aa k a t
ਰਫੀਕੀ,r a ph ii k ii
ਰਫੀਕ,r a ph ii k
ਰਫੀਕਣੀ,r a ph ii k nn ii
ਰਫੂ,r a ph uu
ਰਗ,r a g
ਰਾਗ,r aa g
ਰਾਗਣ,r aa g a nn
ਰਗਡ਼,r a g a rr
ਰਗਡ਼ਣਾ,r a g a rr nn aa
ਰਗਡ਼ਵਾਈ,r a g a rr v aa ii
ਰਗਡ਼ਵਾਉਮਾ,r a g a rr v aa u nn aa
ਰਗਤ,r a g a t
ਰਗਦਡ਼ੁ,r a g d a rr u
ਰਗਦੁਡ਼,r a g d u rr
ਰਗੇਦ,r a g e d
ਰਗੇਦਣਾ,r a g e d nn aa
ਰਾੱਗੀ,r a g g ii
ਰਘੁਬੰਸ,r a gh u b a ng s
ਰਘੁਬਨਸ,r a gh u b a n s
ਰਘੁਵੰਸ,r a gh u v a ng s
ਰਘੁਵਨਸ,r a gh u v a n s
ਰਘੁਬੀਰ,r a gh u b ii r
ਰਘੁਬੰਸੀ,r a gh u b a ng s ii
ਰਘੁਬਨਸੀ,r a gh u b a n s ii
ਰਘੁਵੰਸੀ,r a gh u v a ng s ii
ਰਘੁਵਨਸੀ,r a gh u v a n s ii
ਰਾਗਣੀ,r aa g nn ii
ਰਾਗਨੀ,r aa g n ii
ਰਗਡ਼ਾ,r a g rr aa
ਰਗਡ਼ਾਈ,r a g rr aa ii
ਰਗਡ਼ਾਉਣਾ,r a g rr aa u ng aa
ਰਾਹ,r aa h
ਰਾਹਾ,r aa h aa
ਰਹਾ,r a h aa
ਰਹਾਈ,r a h aa ii
ਰਹਾਇਸ,r a h aa i s
ਰਹਾਇਸ਼,r a h aa i sh
ਰਾਹਕ,r aa h a k
ਰਹਲ,r a h a l
ਰਾਹਨ,r aa h a n
ਰਾਹਡ਼,r aa h a r
ਰਹਡ਼,r a h a rr
ਰਾਹਡ਼ਣਾ,r aa h a rr nn aa
ਰਹਾਉ,r a h aa u
ਰਹਾਉਣ,r a h aa u nn
ਰਹਾਉਣਾ,r a h aa u nn aa
ਰਹਾਵਨ,r a h aa v a n
ਰਹੇਲਾ,r a h e l aa
ਰਹੇੱਲਾ,r a h e l l aa
ਰਾਹੀ,r aa h ii
ਰਹਿਕਲਾ,r a h i k a l aa
ਰਹਿਲ,r a h i l
ਰਹਿਲਾ,r a h i l aa
ਰਹਿਲੀ,r a h i l ii
ਰਹੀਮ,r a h ii m
ਰਹਿਣਾ,r a h i nn aa
ਰਹਿਰਾਸ,r a h i r aa s
ਰਹਿਤ,r a h i t
ਰਹਿਤਬਾ,r a h i t b aa
ਰਹਿਤਬੀ,r a h i t b ii
ਰਹਿਤਵਾ,r a h i t v aa
ਰਹਿਤਵੀ,r a h i t v ii
ਰਹਕਾਮ,r a h k aa m
ਰਹਕੀ,r a h k ii
ਰਾਹਕੀ,r aa h k ii
ਰਹਲਾ,r a h l aa
ਰਹਲੀ,r a h l ii
ਰਹਮ,r a h m
ਰਹਮਤ,r a h m a t
ਰਾਹਣਾ,r aa h nn aa
ਰਹਰਾਸ,r a h r aa s
ਰਹੁਰਾਸ,r a h u r aa s
ਰਹੁ,r a h uu
ਰੈ,r E
ਰੈਇ,r E
ਰਾਈ,r aa ii
ਰਾਇ,r aa i
ਰਾਈਹਾਨ,r aa ii h aa n
ਰੈਹਾਨੀ,r E h aa n ii
ਰਾਇਲ,r aa i l
ਰੈਈਅਤ,r a ii a t
ਰਾਇਬੇਲ,r aa i b e l
ਰੈਲਾ,r E l aa
ਰੈਨ,r E n
ਰਾਈਂ,r aa ii ng
ਰੈਣਾ,r E nn aa
ਰੈਣੀ,r E nn ii
ਰਾਈਓਂਰੇਤ,r aa ii o ng r e t
ਰਾਇਸਾ,r aa i s aa
ਰਾਇਸਣ,r aa i s a nn
ਰਾਇਸਾਣਾ,r aa i s aa nn aa
ਰਾਇਸੀ,r aa i s ii
ਰੈਤਾ,r E t aa
ਰਾਇਤਾ,r aa i t aa
ਰੈਈਯਤ,r a ii y a t
ਰਜ,r a j
ਰਾਜ,r aa j
ਰਜਾ,r a j aa
ਰਾਜਾ,r aa j aa
ਰਜਬ,r a j a b
ਰਾਜਗੀ,r aa j a g ii
ਰਜਾਈ,r a j aa ii
ਰਜਾਇਨ,r a j aa i n
ਰਜਲ,r a j a l
ਰਾਜਲ,r aa j a l
ਰਜਾਲਾ,r a j aa l aa
ਰਾਜਸ,r aa j aa s
ਰਾਜਸੀ,r aa j a s ii
ਰਜਸੁੱਲਾ,r a j a s s u l aa
ਰਜਾਉਣਾ,r a j aa u nn aa
ਰਾਜੀ,r aa j ii
ਰਾਜਿਕ,r aa j i k
ਰੱਜ,r a j j
ਰੱਜਾ,r a j j aa
ਰੱਜਿਆ,r a j j i aa
ਰੱਜੀ,r a j j ii
ਰੱਜਬ,r a j j a b
ਰੱਜਣਾ,r a j j nn aa
ਰੱਜੁ,r a j j u
ਰਜਨੀ,r a j n ii
ਰਜੋਆ,r a j o aa
ਰਾਜਸੀ,r aa j s ii
ਰਜੁਆਡ਼ਾ,r a j u aa rr aa
ਰਜਵਾ,r a j v aa
ਰਜਵਾਹਾ,r a j v aa h aa
ਰਜਵਾਡ਼ਾ,r a j v aa rr aa
ਰਾਜਵਾਡ਼ਾ,r aa j v aa rr aa
ਰਜਵਾਉਣਾ,r a j v aa u nn aa
ਰਕਾਬ,r a k aa b
ਰਕਾਬੀ,r a k aa b ii
ਰਾਕਸ,r aa k a s
ਰਾਕਸ਼,r aa k a sh
ਰਾਖਸ,r aa kh a s
ਰਾਕਸੀ,r aa k a s ii
ਰਾਕਸ਼ੀ,r aa k a sh ii
ਰਾਖਸੀ,r aa kh a s ii
ਰਾਕਸਣੀ,r aa k a s nn ii
ਰਾਕਸਣੀ,r aa k s nn ii
ਰਾਖਸਣੀ,r aa kh a s nn ii
ਰਕਤ,r a k a t
ਰਕੇਬੀ,r a k e b ii
ਰਾਖ,r aa kh
ਰਖਾਈ,r a kh aa ii
ਰਖਲ,r a kh a l
ਰਖਾਉਣਾ,r a kh aa u nn aa
ਰਖੀਸਰ,r a kh ii s a r
ਰਾਖਮਾਂ,r aa kh m aa ng
ਰਾਖਵਾਂ,r a kh v aa ng
ਰਖਣਾ,r a kh nn aa
ਰਖੋਸਰ,r a kh o s a r
ਰਖਡ਼ੀ,r a kh rr ii
ਰਾਖਸੀ,r aa kh s ii
ਰਖਵਾਈ,r a kh v aa ii
ਰਖਵੈਯ਼ਾ,r a kh v E y aa
ਰਖਵੱਯਾ,r a kh v a y y aa
ਰਖਵਾਲ,r a kh v aa l
ਰਖਵਾਲਾ,r a kh v aa l aa
ਰਖਵਾਲੀ,r a kh v aa l ii
ਰਖਵਾਉਣਾ,r a kh v aa u nn aa
ਰੱਕਡ਼,r a k k a rr
ਰੱਕਰ,r a k k a r
ਰੱਖ,r a k kh
ਰਾੱਖਾ,r aa k kh aa
ਰੱਖਕ,r a k kh a k
ਰੱਖਾਲ,r a k kh aa l
ਰਾੱਖੀ,r aa k kh ii
ਰੱਖਿਆ,r a k kh i aa
ਰੱਖੀ,r a k kh ii
ਰੱਖਣਾ,r a k kh nn aa
ਰੱਖਣੀ,r a k kh nn ii
ਰੱਖਡ਼ੀ,r a k kh rr ii
ਰੱਖਯਾ,r a k kh y aa
ਰਾਕਸੀ,r aa k s ii
ਰਾਲ,r aa l
ਰਲਾ,r a l aa
ਰਲਾਉ,r a l aa u
ਰਲਾਊ,r a l aa uu
ਰਲਾਉਣਾ,r a l aa u nn aa
ਰਲਾਵਨ,r a l aa v a n
ਰਲਿਆ,r a l i aa
ਰਲਮਿਲ,r a l m i l
ਰਲਮਾਣੀ,r a l m aa nn ii
ਰਾਮ,r aa m
ਰਮਾਇਣ,r a m aa i nn
ਰਮਜ,r a m a j
ਰਮਕ,r a m a k
ਰਮਕਣਾ,r a m a k nn aa
ਰਮਲ,r a m a l
ਰਮਲੀ,r a m l ii
ਰਮਲੀਆ,r a m a l ii aa
ਰਮਤਾ,r a m t aa
ਰਮਾਉਣਾ,r a m aa u nn aa
ਰੰਬਾ,r a m b aa
ਰੰਬਾ,r a ng b aa
ਰੰਬੀ,r a m b ii
ਰੰਬੀ,r a ng b ii
ਰਮਭਾਟ,r a m bh aa tt
ਰੰਭਣਾ,r a m bh nn aa
ਰੰਭਣਾ,r a ng bh nn aa
ਰਮਦਾਸ,r a m d aa s
ਰਮਦਾਸੀ,r a m d aa s ii
ਰਮਦਾਸੀਆ,r a m d aa s ii aa
ਰਮਦਾਸਣੀ,r a m d aa s nn ii
ਰਮਕਾ,r a m k aa
ਰਮਣਾ,r a m nn aa
ਰਮਨੀਆ,r a m n ii aa
ਰਣ,r a nn
ਰਾਣ,r aa nn
ਰਾਣਾ,r aa nn aa
ਰਨਕ,r a n a k
ਰਣਕਣਾ,r a nn a k nn aa
ਰੰਡ,r a ng dd
ਰਾਂਡ,r aa ng dd
ਰੰਦ,r a ng d
ਰੰਡਾ,r a ng dd aa
ਰੰਦਾ,r a ng d aa
ਰੰਦਾਈ,r a ng d aa ii
ਰੰਡਾਪਾ,r a ng dd aa p aa
ਰੰਡੇਪਾ,r a n dd e p aa
ਰੰਡਡ਼,r a ng dd a rr
ਰੰਦਾਉਣਾ,r a ng d aa u nn aa
ਰੰਧ,r a ng dh
ਰੰਧਾਵਾ,r a n dh aa v aa
ਰੰਡੀ,r a ng dd ii
ਰੰਡਿਡ਼,r a ng dd i rr
ਰੰਦਣਾ,r a ng d nn aa
ਰੰਡੂਆ,r a ng dd uu aa
ਰੰਦਵਾਈ,r a ng d v aa ii
ਰੰਦਵਾਉਣਾ,r a ng d v aa u nn aa
ਰਾਂਗ,r aa ng g
ਰੰਗ,r a ng g
ਰਾਂਗ,r aa ng g
ਰਾਂਗਾ,r aa ng g aa
ਰੰਗਡ਼,r a ng g a rr
ਰੰਗਾਈ,r a ng g aa ii
ਰੰਗਣ,r a ng g g a nn
ਰੰਗਤ,r a ng g g a t
ਰੰਗਾਉਣਾ,r a ng g g aa u nn aa
ਰੰਗਾਉਣੀ,r a ng g g aa u nn ii
ਰੰਗਾਉਟ,r a ng g g aa u tt
ਰੰਗੀ,r a ng g g ii
ਰੰਗੀਲ,r a ng g g ii l
ਰੰਗੀਲਾ,r a ng g g ii l aa
ਰੰਗੀਣ,r a ng g g ii nn
ਰੰਗਲਾ,r a ng g g l aa
ਰੰਗੁਲਾ,r a ng g g u l aa
ਰਾਂਗੁਲਾ,r aa ng g g u l aa
ਰੰਗਣਾ,r a ng g g nn aa
ਰੰਗਵਾਈ,r a ng g g v aa ii
ਰੰਗਵਾਉਣਾ,r a ng g g v aa u nn aa
ਰੰਗਵੱਯਾ,r a ng g g v a y y aa
ਰੰਘਡ਼,r a n gh a rr
ਰੰਗਿਨ,r a ng g i n
ਰੰਗੋਲੀ,r a ng g o l ii
ਰਾਣੀ,r aa nn ii
ਰੰਜ,r a ng j
ਰੰਗਰੇਕ,r a ng g r e k
ਰਾਂਗਸ਼ੂਰ,r aa ng g sh uu r
ਰੰਜਕ,r a ng j a k
ਰੰਜਾਨਣਾ,r a ng j aa n nn aa
ਰਾਂਜਸ,r aa ng j a s
ਰਾਂਝਾ,r aa ng jh aa
ਰਾਂਝਣ,r aa ng jh a nn
ਰਾਂਝਣਾ,r aa ng jh nn aa
ਰੰਕ,r a ng k
ਰੰਨ,r a n n
ਰੱਨ,r a n n
ਰੱਨੋਤ੍,r a n n o t a r
ਰਾਂਉਤ,r aa ng u t
ਰਪ,r a p
ਰਪਡ਼,r a p a rr
ਰੱਪਡ਼,r a p p a rr
ਰੱਪੁਡ਼,r a p p u rr
ਰਪਦ,r a p a d
ਰਪਟ,r a p a tt
ਰਪਟਣਾ,r a p a tt nn aa
ਰਪੇਸ਼ੋ,r a p e sh o
ਰਪਟੀ,r a p tt ii
ਰਪਟੀਆ,r a p t ii aa
ਰਡ਼,r a rr
ਰਾਰ,r aa r
ਰਾਡ਼,r aa rr
ਰਾਰਾ,r aa r aa
ਰਾਡ਼ਾ,r aa rr aa
ਰਡ਼ਾ,r a rr aa
ਰਰਹ,r a r a h
ਰਡ਼ਕ,r a rr a k
ਰਡ਼ਕਣਾ,r a rr a k nn aa
ਰਡ਼੍ਹ,r a rrh
ਰਡ਼੍ਹਾਈ,r a rrh aa ii
ਰਡ਼ਾਉਣਾ,r a rrh aa u nn aa
ਰਡ਼੍ਹਣਾ,r a rrh nn aa
ਰਾਰੀ,r aa r ii
ਰਡ਼ਕਾ,r a rr k aa
ਰਡ਼ਕਾਉਣਾ,r a rr k aa u ng aa
